time,dives,contracts,permits,raids
08-01-2023 14:05:38,0,0,0,0
08-01-2023 14:54:32,0,2,0,0
08-01-2023 15:43:16,1,0,0,0
08-01-2023 16:32:01,0,0,1,0
08-01-2023 17:20:37,0,0,0,0
08-01-2023 18:09:12,0,0,0,0
08-01-2023 18:57:49,0,0,0,1
08-01-2023 19:46:35,0,0,1,0
08-01-2023 20:35:11,2,0,0,0
08-01-2023 21:24:03,2,1,0,0
08-01-2023 22:12:47,0,0,0,0
08-01-2023 23:01:40,0,0,0,1
08-01-2023 23:50:33,2,0,0,1
08-02-2023 00:39:26,0,0,0,0
08-02-2023 01:28:19,2,1,0,0
08-02-2023 02:20:33,0,0,0,0
08-02-2023 03:09:19,1,1,0,0
08-02-2023 03:58:03,0,0,0,0
08-02-2023 04:46:48,0,0,0,1
08-02-2023 05:35:32,1,0,0,0
08-02-2023 06:24:17,0,0,0,0
08-02-2023 07:13:01,1,0,0,0
08-02-2023 08:01:54,0,0,0,0
08-02-2023 08:52:32,0,1,0,0
08-02-2023 09:41:22,0,0,0,0
08-02-2023 10:30:18,2,0,0,0
08-02-2023 11:19:14,0,0,0,0
08-02-2023 12:08:17,1,0,0,0
08-02-2023 12:57:21,0,0,0,1
08-02-2023 13:46:23,0,0,0,1
08-02-2023 14:35:25,2,0,0,0
08-02-2023 15:24:27,3,0,1,0
08-02-2023 16:13:22,1,0,0,0
08-02-2023 17:02:05,1,0,0,0
08-02-2023 17:51:00,0,0,0,0
08-02-2023 18:40:02,1,0,0,1
08-02-2023 19:29:04,1,0,2,0
08-02-2023 20:17:51,2,0,1,0
08-02-2023 21:06:28,0,1,0,0
08-02-2023 21:54:57,0,0,0,0
08-02-2023 22:43:41,2,0,1,0
08-02-2023 23:32:28,1,0,0,0
08-03-2023 00:21:22,0,1,1,0
08-03-2023 01:10:00,0,0,0,1
08-03-2023 01:58:45,0,0,0,0
08-03-2023 02:47:30,0,1,1,0
08-03-2023 03:36:06,2,0,0,0
08-03-2023 04:24:43,0,0,0,0
08-03-2023 05:13:20,1,0,0,0
08-03-2023 06:02:07,0,1,0,0
08-03-2023 06:50:53,3,0,1,0
08-03-2023 07:39:31,0,0,0,0
08-03-2023 08:28:09,1,0,0,0
08-03-2023 09:17:03,0,0,0,1
08-03-2023 10:06:04,1,3,0,0
08-03-2023 10:54:41,0,0,0,1
08-03-2023 11:43:20,2,0,0,0
08-03-2023 12:31:57,0,0,0,0
08-03-2023 13:20:36,0,0,0,0
08-03-2023 14:09:14,1,0,0,0
08-03-2023 14:57:51,1,0,1,0
08-03-2023 15:46:21,0,0,0,0
08-03-2023 16:35:16,2,0,1,0
08-03-2023 17:24:03,0,2,0,0
08-03-2023 18:12:40,1,0,0,0
08-03-2023 19:01:12,0,0,0,0
08-03-2023 19:49:59,1,0,0,0
08-03-2023 20:38:54,0,0,0,0
08-03-2023 21:27:49,0,0,0,0
08-03-2023 22:16:42,0,0,0,0
08-03-2023 23:05:35,0,0,1,0
08-03-2023 23:54:28,2,0,0,0
08-04-2023 00:43:23,1,0,0,0
08-04-2023 01:32:16,2,2,0,0
08-04-2023 02:21:02,1,0,0,0
08-04-2023 03:09:47,1,0,0,0
08-04-2023 03:58:34,0,1,0,0
08-04-2023 04:47:12,0,0,0,0
08-04-2023 05:35:50,0,0,0,0
08-04-2023 06:24:27,0,0,0,0
08-04-2023 07:13:14,0,1,0,0
08-04-2023 08:02:09,2,0,0,0
08-04-2023 08:51:02,0,0,0,0
08-04-2023 09:39:55,0,0,0,0
08-04-2023 10:28:49,0,0,0,0
08-04-2023 11:17:43,1,0,0,0
08-04-2023 12:06:38,0,0,2,0
08-04-2023 12:55:15,0,1,0,0
08-04-2023 13:43:53,3,0,0,0
08-04-2023 14:32:31,0,0,0,0
08-04-2023 15:21:25,1,0,1,0
08-04-2023 16:10:19,0,0,1,0
08-04-2023 16:59:05,1,1,0,0
08-04-2023 17:47:45,0,1,0,0
08-04-2023 18:36:23,1,0,0,0
08-04-2023 19:25:08,1,2,0,0
08-04-2023 20:13:47,1,0,0,0
08-04-2023 21:02:33,2,0,1,0
08-04-2023 21:51:10,1,0,0,0
08-04-2023 22:40:03,0,0,0,0
08-04-2023 23:28:57,0,0,0,0
08-05-2023 00:18:01,1,0,0,0
08-05-2023 01:07:02,1,0,0,0
08-05-2023 01:56:04,2,0,0,0
08-05-2023 02:45:08,1,0,0,0
08-05-2023 03:34:10,0,0,0,0
08-05-2023 04:23:12,0,0,0,0
08-05-2023 05:12:14,1,0,0,0
08-05-2023 06:01:15,1,1,0,0
08-05-2023 06:50:10,1,0,0,0
08-05-2023 07:39:04,1,0,0,1
08-05-2023 08:27:59,0,2,0,0
08-05-2023 09:16:38,0,0,0,0
08-05-2023 10:05:15,0,0,0,0
08-05-2023 10:53:53,0,0,0,0
08-05-2023 11:42:39,1,0,0,0
08-05-2023 12:31:34,2,1,0,0
08-05-2023 13:20:21,0,0,0,0
08-05-2023 14:09:07,0,0,0,0
08-05-2023 14:58:01,1,1,0,1
08-05-2023 15:46:55,0,0,0,0
08-05-2023 16:35:48,0,1,0,0
08-05-2023 17:24:34,0,0,0,0
08-05-2023 18:13:20,0,1,0,0
08-05-2023 19:01:58,0,0,0,0
08-05-2023 19:50:35,0,0,0,0
08-05-2023 20:39:13,0,1,1,0
08-05-2023 21:27:43,1,0,0,0
08-05-2023 22:16:12,0,0,0,0
08-05-2023 23:04:50,1,0,0,0
08-05-2023 23:53:37,1,0,0,0
08-06-2023 00:42:31,2,1,1,0
08-06-2023 01:31:09,0,0,0,0
08-06-2023 02:19:45,0,1,0,0
08-06-2023 03:08:24,0,0,0,0
08-06-2023 03:57:09,0,0,0,0
08-06-2023 04:45:55,0,0,0,0
08-06-2023 05:34:49,0,0,0,1
08-06-2023 06:23:44,0,0,1,0
08-06-2023 07:12:39,2,0,2,0
08-06-2023 08:01:16,0,0,0,0
08-06-2023 08:49:54,1,0,0,0
08-06-2023 09:38:39,1,0,0,0
08-06-2023 10:27:42,1,0,0,0
08-06-2023 11:16:44,0,0,0,0
08-06-2023 12:05:46,2,0,0,1
08-06-2023 12:54:48,1,0,0,1
08-06-2023 13:43:51,1,0,0,1
08-06-2023 14:33:14,1,0,0,0
08-06-2023 15:22:13,2,0,0,0
08-06-2023 16:11:15,1,0,1,0
08-06-2023 17:00:07,1,0,2,0
08-06-2023 17:48:44,0,0,0,0
08-06-2023 18:37:19,1,0,0,0
08-06-2023 19:26:03,1,0,0,0
08-06-2023 20:17:46,0,0,0,0
08-06-2023 21:06:48,2,1,0,0
08-06-2023 21:55:39,0,1,0,0
08-06-2023 22:44:23,1,0,0,0
08-06-2023 23:33:07,0,0,0,0
08-07-2023 00:21:52,1,0,0,0
08-07-2023 01:10:37,0,0,0,0
08-07-2023 01:59:22,0,1,0,0
08-07-2023 02:47:59,0,0,0,1
08-07-2023 03:36:42,0,0,0,0
